Original CSV fieldname,Question No,Original Question text,Original answer,Table,Column Name,Type (if not str)
Response ID,,Response ID,,responses,response_id,
Time Started,,Time Started,,responses,time_started,datetime
Date Submitted,,Date Submitted,,responses,date_submitted,datetime
Comments,,Comments,,responses,comments,
User Agent,,User Agent,,responses,user_agent,
Extended User Agent,,Extended User Agent,,responses,extended_user_agent,
Country,,Country,,responses,country,
City,,City,,responses,city,
State/Region,,State/Region,,responses,state_region,
Postal,,Postal,,responses,postal,
"1: Fluency in data structures, e.g. arrays, hashes, tree structures, etc:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Fluency in data structures, e.g. arrays, hashes, tree structures, etc",q1_competent_software_engineer_traits,data_structures,boolean
"1: Fluency in algorithms, e.g. sorting, searching, stacks, queues, tree traversal, etc:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Fluency in algorithms, e.g. sorting, searching, stacks, queues, tree traversal, etc",q1_competent_software_engineer_traits,simple_algorithms,boolean
"1: Knowledge of advanced data structures and algorithms, e.g. graphs, red-black trees, RAFT, etc:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Knowledge of advanced data structures and algorithms, e.g. graphs, red-black trees, RAFT, etc",q1_competent_software_engineer_traits,advanced_algorithms,boolean
1: Expert fluency in at least one software language:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Expert fluency in at least one software language,q1_competent_software_engineer_traits,fluency_one_language,boolean
1: Fluency in many software languages:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Fluency in many software languages,q1_competent_software_engineer_traits,fluency_many_languages,boolean
"1: Knowing how operating systems, hardware and other low-level systems work:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Knowing how operating systems, hardware and other low-level systems work",q1_competent_software_engineer_traits,low_level_systems,boolean
"1: Knowing how languages work under the hood, e.g. the GIL in Ruby/Python, Java's garbage collection:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Knowing how languages work under the hood, e.g. the GIL in Ruby/Python, Java's garbage collection",q1_competent_software_engineer_traits,languages_work_under_the_hood,boolean
1: Knowing the performance and scaling characteristics of products and languages you use:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Knowing the performance and scaling characteristics of products and languages you use,q1_competent_software_engineer_traits,performance,boolean
1: Being able to reason about concurrent or multithreaded code:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Being able to reason about concurrent or multithreaded code,q1_competent_software_engineer_traits,concurrency,boolean
1: Design and architecture skills - knowing how to build larger systems:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Design and architecture skills - knowing how to build larger systems,q1_competent_software_engineer_traits,design_and_architecture_skills,boolean
"1: Knowing code structure styles, e.g. object-oriented, functional, MVC, DCI, etc:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Knowing code structure styles, e.g. object-oriented, functional, MVC, DCI, etc",q1_competent_software_engineer_traits,code_structure_skills,boolean
"1: Knowing design patterns, e.g. “Gang of Four"" book, Actor model, Decorator pattern, etc:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Knowing design patterns, e.g. “Gang of Four"" book, Actor model, Decorator pattern, etc",q1_competent_software_engineer_traits,design_patterns,boolean
"1: Expertise in the features of the languages you use, e.g. knowing the standard library:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Expertise in the features of the languages you use, e.g. knowing the standard library",q1_competent_software_engineer_traits,language_features_knowledge,boolean
"1: Expertise in the frameworks and products you use, e.g. knowing the features of Django, Rails, Postgres, React, etc,:What does being a competent professional software engineer mean to you? (Pick all that apply)",1,What does being a competent professional software engineer mean to you? (Pick all that apply),"Expertise in the frameworks and products you use, e.g. knowing the features of Django, Rails, Postgres, React, etc,",q1_competent_software_engineer_traits,framework_features_knowledge,boolean
1: Shipping your code; getting finished projects out the door:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Shipping your code; getting finished projects out the door,q1_competent_software_engineer_traits,shipping_code,boolean
1: Productivity - committing lots of lines of code:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Productivity - committing lots of lines of code,q1_competent_software_engineer_traits,productivity,boolean
1: Pragmatism - compromising if it means getting the work done:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Pragmatism - compromising if it means getting the work done,q1_competent_software_engineer_traits,pragmatism,boolean
1: Learning new tools and languages quickly:What does being a competent professional software engineer mean to you? (Pick all that apply),1,What does being a competent professional software engineer mean to you? (Pick all that apply),Learning new tools and languages quickly,q1_competent_software_engineer_traits,can_learn_quickly,boolean
